主题,生态区域,污染来源,治理措施,实施主体,效果数据
船舶减排技术,北海,船舶排放,安装倾斜转子帆（风能推进）,Norsepower、Sea-Cargo,"减少排放高达25%，每年节省超过100万升柴油"
深海采矿环境影响,深海,深海采矿,"进行全面环境评估、建立保护区、回收电池金属",高级别海洋经济小组（Ocean Panel）,无具体数据，但强调需要研究以防止物种损失
集装箱丢失污染,澳大利亚东南海岸,丢失的集装箱（可能含有有害物质）,"搜索和回收丢失的集装箱、使用声纳搜索",澳大利亚海事安全局（AMSA）、船东和保险公司,"已回收15个集装箱，35个仍缺失；保险公司承诺支付高达2250万美元"
环保船舶建造,全球（船舶在北海运营）,船舶排放,"使用锂离子电池系统、高效发动机、排放减少系统、空气润滑系统",Finnlines、Nanjing Jinling船厂,"零排放操作在港口，减少燃料消耗和排放"
油轮减排技术,北海,油轮排放（VOC和CO2）,"使用VOC回收系统和LNG燃料系统",Wärtsilä、KNOT,"减少CO2等效排放30-35%，每年至少减少30,000吨"
数字化促进可持续航运,全球,船舶运营,"使用AI和机器学习优化船舶性能、增强可持续操作",DNV GL、ABB,无具体数据，但旨在提高安全性和效率
燃料高效油轮,全球,油轮排放,"使用Flettner转子、太阳能板、双燃料发动机",Stena Bulk,减少温室气体排放25%以上，潜在达45%
生物燃料使用,全球,船舶燃料排放,使用生物燃料（基于废弃物）,Stena Bulk,减少碳排放，基于试验证明技术可行性
碳抵消,美国内河（圣路易斯、孟菲斯等）,柴油排放,参与碳抵消计划实现碳中性,SCF Marine Inc. (SEACOR Holdings),估计节省400万加仑柴油和40000公吨CO2
气候目标不足,全球,航运和航空排放,"呼吁加强气候目标、减少排放",国际社会,排放预计到2050年翻倍或三倍，尽管COVID-19短期减少
零排放驳船,荷兰内河,驳船柴油排放,"使用可更换电池容器（ZESPacks）、建立充电站网络",Zero Emission Services B.V. (Wärtsilä、ING Bank、Engie、Port of Rotterdam Authority),无具体数据，但旨在减少内河航运CO2排放
Decarbonization research,全球,航运排放,建立研究中心开发碳中和燃料和技术,"A.P. Moller-Maersk、NYK Lines、Siemens Energy等",无具体数据，但旨在支持碳中性目标
